date,title,amount
2026-06-22,Drogaria Sao Paulo - NuPay,"21,02"
2026-06-22,Drogaria Sao Paulo - NuPay,"21,02"
2026-06-22,Drogaria Sao Paulo - NuPay,"21,02"
2026-06-22,Drogaria Sao Paulo - NuPay,"- 21,02"
2026-06-22,Drogaria Sao Paulo - NuPay,"- 21,02"
2026-06-22,Auto Posto D,"37,70"
2026-06-22,Dm *Spotify,"23,90"
2026-06-21,Santo Agostinho Comer,"20,00"
2026-06-20,Filial Marke*Kalunga,"17,90"
2026-06-17,Posto George,"85,40"
2026-06-16,Tokio Marine*Auto08d12,"286,21"
2026-06-13,Estorno de compra (Canva),"- 49,00"
2026-06-12,Ebn*Canva04909,"49,00"
2026-06-09,Mp *Pagodedeuda,"3,50"
2026-06-07,Dermanyluiz - Parcela 1/3,"276,68"
2026-06-06,Mercadolivre*Mercadol,"19,23"
2026-06-03,Pagamento recebido,"- 1.311,82"
2026-06-03,Mercadolivre*Mercadol - Parcela 8/12,"36,88"
2026-06-03,Jim.Com* Blinda Iphon - Parcela 5/12,"157,98"
